CustomerId,Churn
15634602,Sim
15647311,Sim
15619304,Sim
15701354,Não
15737888,Não
15574012,Não
15592531,Não
15656148,Sim
15792365,Não
15592389,Não
15767821,Não
15737173,Não
15632264,Não
15691483,Não
15600882,Não
15643966,Não
15737452,Sim
15788218,Não
15661507,Sim
15568982,Não
15577657,Não
15597945,Não
15699309,Sim
15725737,Não
15625047,Não
15738191,Não
15736816,Não
15700772,Não
15728693,Sim
15656300,Não
15589475,Sim
15706552,Não
15750181,Não
15659428,Não
15732963,Não
15794171,Sim
15788448,Não
15729599,Não
15717426,Não
15585768,Não
15619360,Sim
15738148,Sim
15687946,Sim
15755196,Sim
15684171,Sim
15754849,Não
15602280,Não
15771573,Sim
15766205,Sim
15771873,Não
15616550,Não
15768193,Não
15683553,Não
15702298,Sim
15569590,Sim
15760861,Não
15630053,Sim
15647091,Não
15623944,Sim
15804771,Sim
15651280,Sim
15773469,Não
15702014,Não
15751208,Sim
15592461,Não
15789484,Não
15696061,Sim
15641582,Não
15638424,Não
15755648,Não
15703793,Sim
15620344,Não
15812518,Não
15779052,Não
15770811,Não
15780961,Não
15614049,Não
15662085,Não
15575185,Não
15803136,Sim
15706021,Não
15663706,Sim
15641732,Não
15701164,Não
15738751,Não
15805254,Sim
15762418,Não
15625759,Não
15622897,Sim
15767954,Não
15757535,Sim
15731511,Não
15809248,Não
15640635,Não
15676966,Não
15699461,Não
15738721,Não
15693683,Não
15604348,Não
15633059,Não
15808582,Sim
15743192,Não
15580146,Não
15776605,Não
15804919,Sim
15613854,Não
15599195,Não
15812878,Sim
15602312,Não
15744689,Sim
15803526,Não
15665790,Não
15715951,Sim
15591100,Não
15609618,Não
15675522,Não
15705512,Sim
15698028,Não
15661670,Sim
15600781,Não
15682472,Não
15580203,Sim
15690673,Não
15760085,Sim
15779659,Sim
15627360,Sim
15671137,Sim
15782688,Sim
15575492,Não
15591607,Não
15740404,Não
15718369,Sim
15677871,Não
15642004,Não
15712543,Não
15584518,Não
15802381,Sim
15610156,Não
15594408,Sim
15640905,Não
15698932,Sim
15724944,Não
15628145,Sim
15713483,Sim
15612350,Sim
15800703,Não
15705707,Não
15754105,Sim
15703264,Sim
15794413,Não
15650237,Não
15759618,Sim
15811589,Não
15689044,Sim
15709368,Não
15679145,Sim
15655007,Não
15623595,Não
15589975,Sim
15804017,Sim
15692132,Não
15641122,Não
15630910,Sim
15680772,Não
15658929,Não
15585388,Não
15724623,Sim
15588537,Sim
15574692,Não
15611325,Não
15587562,Sim
15613172,Não
15651022,Sim
15586310,Não
15625524,Não
15755209,Não
15645248,Não
15790355,Não
15762615,Não
15625426,Sim
15716334,Não
15789669,Não
15621075,Sim
15810845,Não
15719377,Sim
15654506,Não
15771977,Sim
15708710,Sim
15726676,Não
15587421,Não
15726931,Não
15771086,Não
15756850,Não
15702741,Não
15679200,Não
15594815,Não
15635905,Não
15777892,Sim
15656176,Não
15811127,Não
15604482,Não
15622911,Não
15600974,Sim
15727868,Não
15627801,Não
15773039,Não
15755262,Sim
15679531,Não
15684181,Sim
15612087,Não
15752047,Não
15624592,Não
15573152,Não
15594917,Não
15785542,Não
15723488,Sim
15680920,Sim
15786308,Não
15659366,Não
15774854,Sim
15725311,Não
15787155,Não
15727829,Não
15733247,Não
15568748,Sim
15699029,Não
15774393,Não
15676895,Sim
15637753,Sim
15605461,Sim
15808473,Sim
15627000,Não
15787174,Não
15723886,Não
15704769,Sim
15772896,Sim
15711540,Não
15764866,Sim
15794056,Sim
15795149,Não
15812009,Não
15651001,Sim
15813844,Não
15596175,Sim
15576269,Não
15797219,Sim
15685500,Não
15599792,Não
15657566,Não
15772423,Sim
15628112,Sim
15753754,Não
15793726,Sim
15694717,Sim
15665834,Não
15765297,Não
15636684,Não
15592979,Não
15750803,Não
15607178,Sim
15713853,Não
15673481,Sim
15686776,Não
15673693,Não
15700696,Não
15813163,Sim
15653857,Não
15777076,Não
15717398,Sim
15799217,Sim
15787071,Não
15619955,Sim
15796505,Não
15725166,Não
15800116,Não
15758685,Não
15694456,Sim
15767339,Não
15683562,Não
15782210,Sim
15668893,Não
15669169,Não
15643024,Não
15699389,Não
15708608,Não
15626144,Não
15573112,Não
15790678,Sim
15727556,Não
15697307,Não
15652266,Sim
15607098,Não
15655774,Não
15590241,Sim
15785819,Não
15723654,Não
15774510,Não
15684173,Sim
15650068,Sim
15811490,Não
15803976,Não
15682541,Sim
15695699,Não
15624188,Não
15812191,Não
15636673,Não
15594898,Não
15660211,Não
15773972,Sim
15746726,Sim
15712287,Sim
15702919,Sim
15674398,Não
15797960,Sim
15631868,Não
15581539,Não
15662736,Sim
15666252,Não
15677512,Não
15626114,Não
15810834,Sim
15678910,Não
15694408,Sim
15585215,Não
15682757,Não
15736601,Não
15601848,Não
15736008,Sim
15669064,Não
15624528,Não
15598493,Não
15601274,Sim
15702669,Não
15728669,Sim
15742668,Sim
15697441,Não
15740476,Não
15648064,Não
15636624,Sim
15807923,Sim
15745844,Não
15786170,Não
15681081,Não
15684484,Não
15785869,Não
15763859,Não
15658935,Não
15747358,Sim
15735203,Sim
15576256,Não
15659420,Não
15593365,Não
15777352,Sim
15812007,Não
15625461,Não
15739438,Não
15611759,Não
15661629,Não
15633950,Não
15592386,Não
15803716,Não
15696674,Sim
15706365,Sim
15745088,Não
15676715,Não
15613085,Não
15633537,Sim
15594720,Não
15684042,Não
15583303,Não
15611579,Não
15774696,Sim
15694506,Não
15688074,Não
15759537,Não
15758449,Não
15583456,Sim
15667871,Não
15677371,Sim
15629677,Sim
15713578,Não
15591509,Não
15568240,Não
15622993,Não
15689294,Sim
15720910,Sim
15721181,Não
15776433,Não
15748936,Não
15717225,Não
